facility_name,city,postal_code,CSDname,latitude,longitude,street_no,street_name,province,odhf_facility_type
Lakeridge Health Ajax Pickering Hospital,ajax,L1S 2J4,Ajax,43.838028,-79.0177,580,harwood ave s,on,Hospitals
Laverendrye General Hospital,fort frances,P9A 2B7,Fort Frances,48.6060113,-93.3925426,110,victoria ave,on,Hospitals
Leamington District Memorial Hospital,leamington,N8H 1N9,Leamington,42.048309,-82.614776,194,talbot st w,on,Hospitals
Lennox and Addington County General Hospital,napanee,K7R 2Z4,Greater Napanee,44.240025,-76.96702900000001,8,richmond park dr,on,Hospitals
Listowel Wingham Hospitals Alliance - Listowel Memorial Hospital,listowel,N4W 2P5,North Perth,43.7333597,-80.94894090000001,255,elizabeth st e,on,Hospitals
Listowel Wingham Hospitals Alliance - Wingham and District Hospital,wingham,N0G 2W0,North Huron,43.8848,-81.306698,270,carling terrace,on,Hospitals
London Health Sciences Centre - Victoria,london,N6A 5W9,London,42.960029,-81.22543,800,commissioners rd e,on,Hospitals
London Health Sciences Centre - South Street Site,london,N6A 4G5,London,42.9868096,-81.2511264,375,south st,on,Hospitals
London Health Sciences Centre - University Campus,london,N6A 5A5,London,43.012453,-81.27454200000001,339,windermere rd,on,Hospitals
Mackenzie Health — Reactivation Care Centre Finch,toronto,M3N 1N1,Toronto,,,,,on,Hospitals
Mackenzie Richmond Hill Hospital,richmond hill,L4C 4Z3,Richmond Hill,43.8705482,-79.4503859,10,trench st,on,Hospitals
Manitoulin Health Centre - Little Current Site,little current,P0P 1K0,Northeastern Manitoulin and the Islands,45.978547,-81.92662,11,meredith st w,on,Hospitals
Manitoulin Health Centre - Mindemoya,mindemoya,P0P 1S0,Central Manitoulin,45.73795429999999,-82.16749018,2120,highway 551,on,Hospitals
Manitouwadge General Hospital,manitouwadge,P0T 2C0,Manitouwadge,49.127201,-85.82422640000001,1,health care cres,on,Hospitals
Markham Stouffville Hospital,markham,L3P 7P3,Markham,43.883994,-79.231971,381,church st,on,Hospitals
Markham Stouffville Hospital - Uxbridge Site,uxbridge,L9P 1S4,Uxbridge,44.102915,-79.12740500000001,4,campbell dr,on,Hospitals
Markham Stouffville Hospital — Reactivation Care Centre Finch,toronto,M3N 1N1,Toronto,,,,,on,Hospitals
Mattawa General Hospital Inc.,mattawa,P0H 1V0,Black River-Matheson,48.539433,-80.469727,217,tucotte park rd,on,Hospitals
Mount Sinai Hospital,toronto,M5G 1X5,Toronto,43.6575099,-79.3902938,600,university ave,on,Hospitals
Muskoka Algonquin Healthcare - Huntsville District Memorial Hospital Site,huntsville,P1H 1H7,Bracebridge,45.047582,-79.314327,100,frank miller dr,on,Hospitals
Niagara Health System - Douglas Memorial Hospital,fort erie,L2A 1Z2,Fort Erie,42.9124531,-78.9241185,230,bertie st,on,Hospitals
Niagara Health System - Greater Niagara General Site,niagara falls,L2E 6X2,Niagara Falls,43.094227,-79.089464,5546,portage rd,on,Hospitals
Niagara Health System - Niagara-on-the-Lake Hospital Site,niagara-on-the-lake,L0S 1J0,Niagara-on-the-Lake,43.2532233,-79.06611690000001,176,wellington st,on,Hospitals
Niagara Health System - Port Colborne General Site,port colborne,L3K 2N7,Port Colborne,42.879704100000005,-79.2586964,260,sugarloaf st,on,Hospitals
